FID,NAAMPLAATSINGSADRES,CLUSTERCODE,CLUSTEROMSCHRIJVING,CONTAINERCODE,FRACTIE,LATITUDE,LONGITUDE,GEOM
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-21c3,loc3572,3572,Turfsingel,G180,glas - loc3572,53.2212,6.5723,POINT (234156.373 582274.235)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-21c2,loc3573,3573,Achter de Muur,G182,glas - loc3573,53.2177,6.5717,POINT (234118.034 581884.019)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-21c1,loc3573,3573,Achter de Muur,G37,glas - loc3573,53.2177,6.5717,POINT (234118.034 581884.019)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-21c0,loc3574,3574,Rademarkt,G184,glas - loc3574,53.2153,6.5718,POINT (234132.429 581618.225)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-21bf,loc3575,3575,Gedempte Kattendiep,G186,glas - loc3575,53.2165,6.5718,POINT (234127.578 581750.604)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-21be,Loc3576,3576,Heymanslaan,G324,glas - Loc3576,53.229,6.5739,POINT (234246.883 583146.172)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-21bd,Loc3577,3577,Hora Siccamasingel/P C Hooftlaan,G190,glas - Loc3577,53.196,6.5752,POINT (234390.441 579465.297)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-21bc,Loc3578,3578,Zaagmuldersweg,G164,glas - Loc3578,53.2283,6.5768,POINT (234438.516 583069.189)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-21bb,Loc3578,3578,Zaagmuldersweg,G270,glas - Loc3578,53.2283,6.5768,POINT (234438.516 583069.189)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-21ba,Loc3578,3578,Zaagmuldersweg,G272,glas - Loc3578,53.2283,6.5768,POINT (234438.516 583069.189)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-21b9,loc3579,3579,Waterloolaan,G196,glas - loc3579,53.2062,6.5742,POINT (234309.472 580605.995)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-21b8,loc3580,3580,Cuypersweg,G220,glas - loc3580,53.2458,6.5788,POINT (234543.168 585018.864)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-21b7,loc3581,3581,Oosterkade,G200,glas - loc3581,53.2168,6.5776,POINT (234517.142 581788.191)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-21b6,loc3581,3581,Oosterkade,G202,glas - loc3581,53.2168,6.5776,POINT (234517.142 581788.191)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-21b5,Loc3582,3582,Palmslag hoek Meeuwerderweg,G446,glas - Loc3582,53.2136,6.5782,POINT (234563.128 581431.646)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-21b4,loc3583,3583,Gorechtkade,G206,glas - loc3583,53.2248,6.5796,POINT (234632.069 582675.009)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-21b3,Loc3584,3584,Winkelcentrum Helperplein,G208,glas - Loc3584,53.1979,6.5787,POINT (234621.429 579685.05)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-21b2,Loc3584,3584,Winkelcentrum Helperplein,G210,glas - Loc3584,53.1979,6.5787,POINT (234621.429 579685.05)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-21b1,Loc3584,3584,Winkelcentrum Helperplein,G212,glas - Loc3584,53.1979,6.5787,POINT (234621.429 579685.05)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-21b0,Loc3584,3584,Winkelcentrum Helperplein,G214,glas - Loc3584,53.1979,6.5787,POINT (234621.429 579685.05)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-21af,Loc3585,3585,Esperantostraat,G440,glas - Loc3585,53.2086,6.5806,POINT (234733.225 580884.59)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-21ae,Loc3585,3585,Esperantostraat,G442,glas - Loc3585,53.2086,6.5806,POINT (234733.225 580884.59)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-21ad,loc3588,3588,Helper Oostsingel,G218,glas - loc3588,53.2014,6.5821,POINT (234846.155 580079.467)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-21ac,loc3590,3590,Emmastraat,G224,glas - loc3590,53.1981,6.5821,POINT (234850.318 579707.762)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-21ab,Loc3591,3591,Linnaeusplein,G226,glas - Loc3591,53.2227,6.5831,POINT (234874.343 582446.386)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-21aa,Loc3591,3591,Linnaeusplein,G228,glas - Loc3591,53.2227,6.5831,POINT (234874.343 582446.386)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-21a9,Loc3592,3592,Zaagmuldersweg,G230,glas - Loc3592,53.2211,6.5833,POINT (234888.581 582272.978)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-21a8,Loc3592,3592,Zaagmuldersweg,G232,glas - Loc3592,53.2211,6.5833,POINT (234888.581 582272.978)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-21a7,loc3593,3593,Winschoterdiep OZ,G234,glas - loc3593,53.2107,6.5832,POINT (234898.419 581117.74)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-21a6,Loc3596,3596,Stoepemaheerd/bussluis,G238,glas - Loc3596,53.2464,6.5893,POINT (235242.287 585095.041)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-21a5,Loc3596,3596,Stoepemaheerd/bussluis,G240,glas - Loc3596,53.2464,6.5893,POINT (235242.287 585095.041)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-21a4,loc3597,3597,De Savorin Lohmanlaan,G242,glas - loc3597,53.1971,6.5904,POINT (235410.76 579609.119)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-21a3,loc3597,3597,De Savorin Lohmanlaan,G482,glas - loc3597,53.1971,6.5904,POINT (235410.76 579609.119)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-21a2,loc3599,3599,Ulgermaweg,G252,glas - loc3599,53.2298,6.5933,POINT (235539.471 583257.801)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-21a1,loc3600,3600,Amkemaheerd,G254,glas - loc3600,53.2527,6.5964,POINT (235707.051 585806.313)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-21a0,loc3601,3601,Bentismaheerd/Emingaheerd,G256,glas - loc3601,53.2479,6.5965,POINT (235720.809 585265.566)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-219f,Loc3603,3603,Madeliefstraat,G260,glas - Loc3603,53.2269,6.5994,POINT (235954.302 582937.508)
Containers_Glas.fid--1ac4f5d2_1879916fbb5_-219e,Loc3603,3603,Madeliefstraat,G262,glas - Loc3603,53.2269,6.5994,POINT (235954.302 582937.508)
