FID,NAAMPLAATSINGSADRES,CLUSTERCODE,CLUSTEROMSCHRIJVING,CONTAINERCODE,FRACTIE,LATITUDE,LONGITUDE,GEOM
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-20dd,loc1063,1063,Bankastraat Zuid,49,huisvuil - loc1063,53.2289,6.5609,POINT (233375.759 583114.093)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-20dc,loc1063,1063,Bankastraat Zuid,50,huisvuil - loc1063,53.2289,6.5609,POINT (233375.759 583114.093)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-20db,loc1064,1064,Nieuwe Ebbingestraat,274,huisvuil - loc1064,53.2273,6.5605,POINT (233353.196 582941.195)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-20da,loc1064,1064,Nieuwe Ebbingestraat,1230,huisvuil - loc1064,53.2273,6.5605,POINT (233353.196 582941.195)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-20d9,loc1065,1065,Balistraat,275,huisvuil - loc1065,53.2288,6.5652,POINT (233663.634 583114.339)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-20d8,Loc1081,1081,Hoornsediep thv nr. 41,1370,huisvuil - Loc1081,53.2091,6.5601,POINT (233360.184 580913.247)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-20d7,loc1083,1083,Kamerlingh Onnesstraat Noord,83,huisvuil - loc1083,53.2064,6.5605,POINT (233395.107 580615.507)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-20d6,loc1083,1083,Kamerlingh Onnesstraat Noord,84,huisvuil - loc1083,53.2064,6.5605,POINT (233395.107 580615.507)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-20d5,loc1084,1084,Hoornsediep Noord,81,huisvuil - loc1084,53.2071,6.5614,POINT (233453.334 580692.145)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-20d4,loc1085,1085,Hoornsediep Noord,1128,huisvuil - loc1085,53.2087,6.5605,POINT (233388.372 580864.729)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-20d3,loc1085,1085,Hoornsediep Noord,1012,huisvuil - loc1085,53.2087,6.5605,POINT (233388.372 580864.729)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-20d2,loc1086,1086,Hoornsediep Zuid,87,huisvuil - loc1086,53.2055,6.5623,POINT (233513.731 580512.809)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-20d1,loc1087,1087,Kamerlingh Onnesstraat Zuid,86,huisvuil - loc1087,53.2054,6.561,POINT (233427.13 580495.815)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-20d0,loc1088,1088,Paterswoldseweg,88,huisvuil - loc1088,53.2051,6.5584,POINT (233253.836 580467.394)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-20cf,loc1089,1089,Van Leeuwenhoekstraat Midden,90,huisvuil - loc1089,53.2044,6.5608,POINT (233416.105 580393.231)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-20ce,loc1090,1090,Van Leeuwenhoekstraat West,89,huisvuil - loc1090,53.2044,6.5593,POINT (233316.03 580382.697)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-20cd,Loc1091,1091,Snelliusstraat Noord,80,huisvuil - Loc1091,53.2055,6.5594,POINT (233321.332 580508.563)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-20cc,Loc1091,1091,Snelliusstraat Noord,85,huisvuil - Loc1091,53.2055,6.5594,POINT (233321.332 580508.563)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-20cb,loc1092,1092,Muntinglaan,95,huisvuil - loc1092,53.2028,6.5605,POINT (233401.744 580208.224)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-20ca,loc1093,1093,Snelliusstraat Zuid,92,huisvuil - loc1093,53.2031,6.56,POINT (233365.751 580243.257)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-20c9,loc1094,1094,Huygensstraat,93,huisvuil - loc1094,53.2038,6.5609,POINT (233426.024 580317.702)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-20c8,loc1095,1095,Van Leeuwenhoekstraat Oost,91,huisvuil - loc1095,53.2046,6.5621,POINT (233500.017 580411.295)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-20c7,loc1096,1096,Paterswoldseweg Noord,82,huisvuil - loc1096,53.206,6.5583,POINT (233248.216 580566.368)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-20c6,loc1097,1097,Paterswoldseweg Zuid,94,huisvuil - loc1097,53.2028,6.5592,POINT (233313.474 580211.24)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-20c5,loc1098,1098,Parkweg/Westinghousestraat,1023,huisvuil - loc1098,53.2071,6.5593,POINT (233308.376 580688.672)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-20c4,loc1099,1099,Paterswoldseweg,1024,huisvuil - loc1099,53.2076,6.558,POINT (233223.906 580746.293)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-20c3,loc1099,1099,Paterswoldseweg,1025,huisvuil - loc1099,53.2076,6.558,POINT (233223.906 580746.293)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-20c2,loc1104,1104,Hoornsediep WZ,1032,huisvuil - loc1104,53.2079,6.561,POINT (233420.5 580779.545)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-20c1,loc1105,1105,Poortstraat West,105,huisvuil - loc1105,53.2368,6.5614,POINT (233395.511 583991.541)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-20c0,loc1106,1106,Poortstraat Oost,106,huisvuil - loc1106,53.2363,6.5636,POINT (233547.864 583945.05)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-20bf,loc1107,1107,Noorderspoorsingel Noord,107,huisvuil - loc1107,53.2364,6.5601,POINT (233314.136 583944.578)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-20be,loc1108,1108,Cortinghlaan,108,huisvuil - loc1108,53.2361,6.5614,POINT (233400.102 583914.811)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-20bd,loc1109,1109,Hermanstraat,109,huisvuil - loc1109,53.2359,6.5622,POINT (233453.118 583898.979)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-20bc,loc1110,1110,De Hoogte,110,huisvuil - loc1110,53.2354,6.563,POINT (233506.212 583837.511)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-20bb,loc1111,1111,Idastraat,111,huisvuil - loc1111,53.2356,6.5642,POINT (233587.97 583861.109)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-20ba,loc1112,1112,Bedumerweg Noord,112,huisvuil - loc1112,53.235,6.5649,POINT (233636.969 583805.141)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-20b9,loc1113,1113,Noorderspoorsingel Zuid,113,huisvuil - loc1113,53.2355,6.5601,POINT (233311.69 583848.811)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-20b8,loc1114,1114,Reinautstraat West,114,huisvuil - loc1114,53.2351,6.562,POINT (233437.989 583803.005)
Containers_Huisvuil.fid--1ac4f5d2_1879916fbb5_-20b7,loc1115,1115,Reinautstraat Oost,115,huisvuil - loc1115,53.2348,6.5637,POINT (233553.967 583775.957)
