FID,NAAMPLAATSINGSADRES,CLUSTERCODE,CLUSTEROMSCHRIJVING,CONTAINERCODE,FRACTIE,LATITUDE,LONGITUDE,GEOM
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1b70,Loc3538,3538,B S F von Suttnerstraat,P190,papier - Loc3538,53.1877,6.5545,POINT (233025.36 578524.695)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1b6f,Loc3538,3538,B S F von Suttnerstraat,P192,papier - Loc3538,53.1877,6.5545,POINT (233025.36 578524.695)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1b6e,Loc3538,3538,B S F von Suttnerstraat,P618,papier - Loc3538,53.1877,6.5545,POINT (233025.36 578524.695)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1b6d,loc3544,3544,Nieuwe Kijk in 't Jatstraat,P28,papier - loc3544,53.2238,6.5583,POINT (233214.029 582544.893)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1b6c,loc3544,3544,Nieuwe Kijk in 't Jatstraat,P619,papier - loc3544,53.2238,6.5583,POINT (233214.029 582544.893)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1b6b,Loc3545,3545,M K Ghandhiplein,P194,papier - Loc3545,53.1866,6.5578,POINT (233249.869 578409.238)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1b6a,loc3546,3546,Asingastraat,P94,papier - loc3546,53.233,6.5594,POINT (233273.527 583567.688)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1b69,loc3546,3546,Asingastraat,P96,papier - loc3546,53.233,6.5594,POINT (233273.527 583567.688)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1b68,loc3546,3546,Asingastraat,P305,papier - loc3546,53.233,6.5594,POINT (233273.527 583567.688)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1b67,loc3548,3548,Overwinningsplein,P200,papier - loc3548,53.1982,6.5607,POINT (233418.049 579699.809)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1b66,loc3548,3548,Overwinningsplein,P202,papier - loc3548,53.1982,6.5607,POINT (233418.049 579699.809)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1b65,loc3548,3548,Overwinningsplein,P636,papier - loc3548,53.1982,6.5607,POINT (233418.049 579699.809)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1b64,Loc3549,3549,Westinghousestraat,P210,papier - Loc3549,53.207,6.5592,POINT (233304.549 580677.479)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1b63,Loc3550,3550,Schaaksport,P360,papier - Loc3550,53.1917,6.5598,POINT (233371.023 578975.539)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1b62,Loc3550,3550,Schaaksport,P196,papier - Loc3550,53.1917,6.5598,POINT (233371.023 578975.539)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1b61,Loc3554,3554,Gedempte Zuiderdiep 105,P298,papier - Loc3554,53.2146,6.564,POINT (233613.396 581529.577)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1b60,Loc3554,3554,Gedempte Zuiderdiep 105,P264,papier - Loc3554,53.2146,6.564,POINT (233613.396 581529.577)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1b5f,Loc3555,3555,Korreweg/Eyssoniusplein,P30,papier - Loc3555,53.2283,6.5647,POINT (233630.561 583053.691)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1b5e,Loc3555,3555,Korreweg/Eyssoniusplein,P32,papier - Loc3555,53.2283,6.5647,POINT (233630.561 583053.691)
Containers_Papier.fid--1ac4f5d2_1879916fbb5_-1b5d,Loc3555,3555,Korreweg/Eyssoniusplein,P459,papier - Loc3555,53.2283,6.5647,POINT (233630.561 583053.691)
