FID,NAAMPLAATSINGSADRES,CLUSTERCODE,CLUSTEROMSCHRIJVING,CONTAINERCODE,FRACTIE,LATITUDE,LONGITUDE,GEOM
Containers_Textiel.fid--1ac4f5d2_1879916fbb5_-19f6,loc3502,3502,C. Jetsesstraat,T78,textiel - loc3502,53.2056,6.5027,POINT (229529.519 580463.957)
Containers_Textiel.fid--1ac4f5d2_1879916fbb5_-19f5,loc3504,3504,De Held,T74,textiel - loc3504,53.2278,6.5144,POINT (230276.55 582946.618)
Containers_Textiel.fid--1ac4f5d2_1879916fbb5_-19f4,loc3507,3507,Siersteenlaan,T42,textiel - loc3507,53.2255,6.528,POINT (231184.753 582706.015)
Containers_Textiel.fid--1ac4f5d2_1879916fbb5_-19f3,loc3507,3507,Siersteenlaan,T44,textiel - loc3507,53.2255,6.528,POINT (231184.753 582706.015)
Containers_Textiel.fid--1ac4f5d2_1879916fbb5_-19f2,loc3507,3507,Siersteenlaan,T46,textiel - loc3507,53.2255,6.528,POINT (231184.753 582706.015)
Containers_Textiel.fid--1ac4f5d2_1879916fbb5_-19f1,loc3510,3510,Goudlaan,T68,textiel - loc3510,53.2289,6.5307,POINT (231363.744 583086.19)
Containers_Textiel.fid--1ac4f5d2_1879916fbb5_-19f0,loc3519,3519,Pleiadenlaan,T102,textiel - loc3519,53.2294,6.5449,POINT (232311.15 583151.41)
Containers_Textiel.fid--1ac4f5d2_1879916fbb5_-19ef,loc3519,3519,Pleiadenlaan,T103,textiel - loc3519,53.2294,6.5449,POINT (232311.15 583151.41)
Containers_Textiel.fid--1ac4f5d2_1879916fbb5_-19ee,Loc3531,3531,Esdoornlaan,T101,textiel - Loc3531,53.2337,6.5522,POINT (232787.523 583637.722)
Containers_Textiel.fid--1ac4f5d2_1879916fbb5_-19ed,Loc3531,3531,Esdoornlaan,T112,textiel - Loc3531,53.2337,6.5522,POINT (232787.523 583637.722)
Containers_Textiel.fid--1ac4f5d2_1879916fbb5_-19ec,loc3548,3548,Overwinningsplein,T107,textiel - loc3548,53.1982,6.5607,POINT (233418.049 579699.809)
Containers_Textiel.fid--1ac4f5d2_1879916fbb5_-19eb,loc3548,3548,Overwinningsplein,T108,textiel - loc3548,53.1982,6.5607,POINT (233418.049 579699.809)
Containers_Textiel.fid--1ac4f5d2_1879916fbb5_-19ea,loc3548,3548,Overwinningsplein,T111,textiel - loc3548,53.1982,6.5607,POINT (233418.049 579699.809)
Containers_Textiel.fid--1ac4f5d2_1879916fbb5_-19e9,Loc3558,3558,Curacaostraat/Oosterhamriklaan,T22,textiel - Loc3558,53.2366,6.567,POINT (233771.643 583982.102)
Containers_Textiel.fid--1ac4f5d2_1879916fbb5_-19e8,Loc3565,3565,Barestraat,T106,textiel - Loc3565,53.2084,6.5686,POINT (233931.93 580848.01)
Containers_Textiel.fid--1ac4f5d2_1879916fbb5_-19e7,loc3580,3580,Cuypersweg,T32,textiel - loc3580,53.2458,6.5788,POINT (234543.168 585018.864)
Containers_Textiel.fid--1ac4f5d2_1879916fbb5_-19e6,loc3580,3580,Cuypersweg,T96,textiel - loc3580,53.2458,6.5788,POINT (234543.168 585018.864)
Containers_Textiel.fid--1ac4f5d2_1879916fbb5_-19e5,Loc3585,3585,Esperantostraat,T98,textiel - Loc3585,53.2086,6.5806,POINT (234733.225 580884.59)
Containers_Textiel.fid--1ac4f5d2_1879916fbb5_-19e4,Loc3603,3603,Madeliefstraat,T93,textiel - Loc3603,53.2269,6.5994,POINT (235954.302 582937.508)
Containers_Textiel.fid--1ac4f5d2_1879916fbb5_-19e3,Loc3603,3603,Madeliefstraat,T94,textiel - Loc3603,53.2269,6.5994,POINT (235954.302 582937.508)
Containers_Textiel.fid--1ac4f5d2_1879916fbb5_-19e2,Loc3609,3609,Waterland,T24,textiel - Loc3609,53.2408,6.6156,POINT (237009.745 584500.4)
Containers_Textiel.fid--1ac4f5d2_1879916fbb5_-19e1,Loc3610,3610,Rijksweg,T97,textiel - Loc3610,53.2307,6.6185,POINT (237219.817 583384.184)
Containers_Textiel.fid--1ac4f5d2_1879916fbb5_-19e0,Loc3610,3610,Rijksweg,T99,textiel - Loc3610,53.2307,6.6185,POINT (237219.817 583384.184)
Containers_Textiel.fid--1ac4f5d2_1879916fbb5_-19df,loc3616,3616,Bakboordswal,T95,textiel - loc3616,53.2364,6.6307,POINT (238023.611 584024.684)
Containers_Textiel.fid--1ac4f5d2_1879916fbb5_-19de,loc3622,3622,Pleiadenlaan,T8,textiel - loc3622,53.2295,6.5448,POINT (232302.237 583165.737)
Containers_Textiel.fid--1ac4f5d2_1879916fbb5_-19dd,loc3623,3623,Eikenlaan/Wilgenpad,T10,textiel - loc3623,53.2312,6.5474,POINT (232472.801 583357.707)
Containers_Textiel.fid--1ac4f5d2_1879916fbb5_-19dc,loc3624,3624,Park Selwerd,T12,textiel - loc3624,53.235,6.5439,POINT (232232.305 583776.818)
Containers_Textiel.fid--1ac4f5d2_1879916fbb5_-19db,loc3625,3625,Van Schendelstraat,T14,textiel - loc3625,53.1989,6.567,POINT (233840.429 579784.622)
Containers_Textiel.fid--1ac4f5d2_1879916fbb5_-19da,loc3627,3627,Korreweg,T18,textiel - loc3627,53.2366,6.5671,POINT (233778.356 583979.986)
Containers_Textiel.fid--1ac4f5d2_1879916fbb5_-19d9,loc3628,3628,Madeliefstraat,T64,textiel - loc3628,53.2271,6.5988,POINT (235912.543 582957.954)
Containers_Textiel.fid--1ac4f5d2_1879916fbb5_-19d8,loc3628,3628,Madeliefstraat,T76,textiel - loc3628,53.2271,6.5988,POINT (235912.543 582957.954)
Containers_Textiel.fid--1ac4f5d2_1879916fbb5_-19d7,loc3630,3630,Rijksweg,T28,textiel - loc3630,53.2308,6.6172,POINT (237134.216 583390.513)
Containers_Textiel.fid--1ac4f5d2_1879916fbb5_-19d6,loc3630,3630,Rijksweg,T48,textiel - loc3630,53.2308,6.6172,POINT (237134.216 583390.513)
