X,Y,OBJECTID,CODI_ENS,NOM_ENS,TIPUS,MODEL,LONGITUD,LATITUD,EXTRACCIO
419033.4315,4576742.8837,24089,08200,SANT BOI DE LLOBREGAT,Resta,RESTA 3000L,2.03232,41.338107,2023/04/10 07:10:15+00
418703.0664,4578125.5962,24090,08200,SANT BOI DE LLOBREGAT,Resta,RESTA 3000L,2.028187,41.350527,2023/04/10 07:10:15+00
419097.2215,4578073.3349,24091,08200,SANT BOI DE LLOBREGAT,Resta,RESTA 3000L,2.032905,41.350096,2023/04/10 07:10:15+00
418880.4034,4576865.0623,24092,08200,SANT BOI DE LLOBREGAT,Resta,RESTA 3000L,2.030475,41.339192,2023/04/10 07:10:15+00
418699.6988,4578161.0532,24093,08200,SANT BOI DE LLOBREGAT,Resta,RESTA 3000L,2.028142,41.350846,2023/04/10 07:10:15+00
418921.6867,4578177.9994,24094,08200,SANT BOI DE LLOBREGAT,Resta,RESTA 3000L,2.030793,41.351021,2023/04/10 07:10:15+00
418097.3931,4578295.0718,24095,08200,SANT BOI DE LLOBREGAT,Resta,RESTA 3000L,2.020925,41.351992,2023/04/10 07:10:15+00
418163.5355,4577950.6798,24096,08200,SANT BOI DE LLOBREGAT,Resta,RESTA 3000L,2.021762,41.348897,2023/04/10 07:10:15+00
418501.1642,4576917.4992,24097,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.025936,41.339626,2023/04/10 07:10:15+00
418750.1456,4578078.5462,24098,08200,SANT BOI DE LLOBREGAT,Orgànica,FORM 2200L,2.028756,41.350108,2023/04/10 07:10:15+00
420119.1018,4577706.376,24099,08200,SANT BOI DE LLOBREGAT,Envasos lleugers,ENVASOS 3000L,2.045167,41.346893,2023/04/10 07:10:15+00
418850.7063,4576813.5423,24100,08200,SANT BOI DE LLOBREGAT,Envasos lleugers,ENVASOS 3000L,2.030127,41.338725,2023/04/10 07:10:15+00
418479.8421,4577269.0445,24101,08200,SANT BOI DE LLOBREGAT,Paper i cartró,PAPER 3000L,2.025634,41.34279,2023/04/10 07:10:15+00
418207.421,4577672.4928,24102,08200,SANT BOI DE LLOBREGAT,Orgànica,FORM 2200L,2.022324,41.346396,2023/04/10 07:10:15+00
419264.4582,4576282.1929,24103,08200,SANT BOI DE LLOBREGAT,Resta,RESTA 3000L,2.035142,41.333981,2023/04/10 07:10:15+00
419432.0881,4577744.7286,24104,08200,SANT BOI DE LLOBREGAT,Envasos lleugers,ENVASOS 3000L,2.036951,41.34717,2023/04/10 07:10:15+00
418886.0916,4577418.8264,24105,08200,SANT BOI DE LLOBREGAT,Resta,RESTA 3000L,2.030469,41.34418,2023/04/10 07:10:15+00
419805.4184,4576888.5351,24106,08200,SANT BOI DE LLOBREGAT,Resta,RESTA 3000L,2.041526,41.339496,2023/04/10 07:10:15+00
418419.0578,4577652.9,24107,08200,SANT BOI DE LLOBREGAT,Resta,RESTA 3000L,2.024856,41.346241,2023/04/10 07:10:15+00
419033.8674,4576661.9366,24108,08200,SANT BOI DE LLOBREGAT,Resta,RESTA 3000L,2.032336,41.337378,2023/04/10 07:10:15+00
419080.5241,4576650.9793,24109,08200,SANT BOI DE LLOBREGAT,Resta,RESTA 3000L,2.032895,41.337284,2023/04/10 07:10:15+00
418931.4892,4576681.3998,24110,08200,SANT BOI DE LLOBREGAT,Resta,RESTA 3000L,2.03111,41.337543,2023/04/10 07:10:15+00
418940.5888,4576799.3251,24111,08200,SANT BOI DE LLOBREGAT,Resta,RESTA 3000L,2.031203,41.338606,2023/04/10 07:10:15+00
419346.9638,4576627.6947,24112,08200,SANT BOI DE LLOBREGAT,Resta,RESTA 3000L,2.036082,41.337101,2023/04/10 07:10:15+00
419035.9298,4577604.2419,24113,08200,SANT BOI DE LLOBREGAT,Resta,RESTA 3000L,2.032235,41.345865,2023/04/10 07:10:15+00
419611.8796,4576262.6814,24114,08200,SANT BOI DE LLOBREGAT,Resta,RESTA 3000L,2.039296,41.33384,2023/04/10 07:10:15+00
418758.6095,4577070.9457,24115,08200,SANT BOI DE LLOBREGAT,Resta,RESTA 3000L,2.028992,41.341034,2023/04/10 07:10:15+00
418857.3658,4576802.9199,24116,08200,SANT BOI DE LLOBREGAT,Resta,RESTA 3000L,2.030208,41.33863,2023/04/10 07:10:15+00
419462.3864,4576260.2305,24117,08200,SANT BOI DE LLOBREGAT,Resta,RESTA 3000L,2.03751,41.333803,2023/04/10 07:10:15+00
419348.3447,4576149.4658,24118,08200,SANT BOI DE LLOBREGAT,Resta,RESTA 3000L,2.036162,41.332794,2023/04/10 07:10:15+00
419223.9916,4576526.2468,24119,08200,SANT BOI DE LLOBREGAT,Resta,RESTA 3000L,2.034626,41.336175,2023/04/10 07:10:15+00
419713.6747,4576348.7145,24120,08200,SANT BOI DE LLOBREGAT,Resta,RESTA 3000L,2.040501,41.334625,2023/04/10 07:10:15+00
419544.8295,4576336.7052,24121,08200,SANT BOI DE LLOBREGAT,Resta,RESTA 3000L,2.038485,41.3345,2023/04/10 07:10:15+00
419225.6679,4576586.6295,24122,08200,SANT BOI DE LLOBREGAT,Resta,RESTA 3000L,2.034638,41.336719,2023/04/10 07:10:15+00
419605.4735,4576394.5469,24123,08200,SANT BOI DE LLOBREGAT,Resta,RESTA 3000L,2.039202,41.335027,2023/04/10 07:10:15+00
419254.2982,4578617.5296,24124,08200,SANT BOI DE LLOBREGAT,Resta,RESTA 3000L,2.03471,41.355013,2023/04/10 07:10:15+00
419279.5685,4578730.7232,24125,08200,SANT BOI DE LLOBREGAT,Resta,RESTA 3000L,2.034997,41.356035,2023/04/10 07:10:15+00
419008.9218,4578767.3831,24126,08200,SANT BOI DE LLOBREGAT,Resta,RESTA 3000L,2.031757,41.356338,2023/04/10 07:10:15+00
419845.973,4577302.4572,24127,08200,SANT BOI DE LLOBREGAT,Resta,RESTA 3000L,2.041956,41.343228,2023/04/10 07:10:15+00
419144.9167,4578651.7247,24128,08200,SANT BOI DE LLOBREGAT,Resta,RESTA 3000L,2.033398,41.35531,2023/04/10 07:10:15+00
419146.2773,4578653.7081,24129,08200,SANT BOI DE LLOBREGAT,Resta,RESTA 3000L,2.033414,41.355328,2023/04/10 07:10:15+00
419099.4428,4578797.5729,24130,08200,SANT BOI DE LLOBREGAT,Resta,RESTA 3000L,2.032835,41.356619,2023/04/10 07:10:15+00
